id_1,id_2,weight
ASE,ICSE,9
ICE,CoNEXT,8
ICE,COMM,7
ICE,PPoPP,2
ICE,ITiCSE,1
ICE,ANCS,7
CGO,ANCS,4
CGO,PEPM,5
CSE,ITiCSE,12
CoNEXT,COMM,13
CoNEXT,MobiHoc,9
CoNEXT,MSWiM,10
CoNEXT,ANCS,8
BCB,STOC,1
PEPM,STOC,1
IUI,ASSETS,9
IUI,UIST,8
Nanoarch,MICRO,3
Nanoarch,GLSVLSI,8
DAC,WSC,1
METRICS,STOC,1
COMM,MobiHoc,9
COMM,MSWiM,10
COMM,ANCS,10
MICRO,GLSVLSI,3
SCA,NPAR,12
C&C,ETRA,3
C&C,NPAR,2
C&C,APGV,3
ACM SE,ICSE,4
ACM SE,PLoP,6
STOC,SAC,1
Web3D,NPAR,8
PLoP,ICSE,8
APGV,ETRA,8
WSC,MSWiM,4
SOSP,EuroSys,10
MobiHoc,MSWiM,11
